seed,dimension,epsilon,direct,balanced,coverage,error
280,3,0.217,0.088151822515,0.088151822515,0.088151822515,1.38777878078e-17
281,4,0.413,0.0735773270431,0.0735773270431,0.139647176595,0
282,5,0.071,0.056122066751,0.056122066751,0.056122066751,6.24500451352e-17
283,6,0.217,0.0338886351861,0.0338886351861,0.0338886351861,1.38777878078e-16
284,3,0.413,0.076638419709,0.076638419709,0.076638419709,1.94289029309e-16
285,4,0.071,0.0583619868339,0.0583619868339,0.0583619868339,1.45716771982e-16
286,5,0.217,0.0592189992872,0.0592189992872,0.0592189992872,6.93889390391e-18
287,6,0.413,0.093332900869,0.093332900869,0.124458947006,6.93889390391e-17
288,3,0.071,0.0663222666105,0.0663222666105,0.0663222666105,0
289,4,0.217,0.0838770118907,0.0838770118907,0.0838770118907,8.32667268469e-17
290,5,0.413,0.0484852136293,0.0484852136293,0.0672800764176,9.71445146547e-17
291,6,0.071,0.0125283564039,0.0125283564039,0.0125283564039,5.55111512313e-17
292,3,0.217,0.0895703051832,0.0895703051832,0.0895703051832,1.2490009027e-16
293,4,0.413,0.123622571872,0.123622571872,0.123622571872,2.77555756156e-17
294,5,0.071,0.036036922658,0.036036922658,0.036036922658,6.24500451352e-17
295,6,0.217,0.0163954992869,0.0163954992869,0.0163954992869,1.21430643318e-16
296,3,0.413,0.0364228047006,0.0364228047006,0.0364228047006,2.08166817117e-17
297,4,0.071,0.0624479445534,0.0624479445534,0.0624479445534,0
298,5,0.217,0.0261679444884,0.0261679444884,0.0261679444884,9.02056207508e-17
299,6,0.413,0.0773801561786,0.0773801561786,0.118642388704,1.38777878078e-17
